855	Skener Epson 660	SSA
856	Polica	KD
857	Polica	KD
858	Polica	KD
863	Ku?i?te-server	ML
864	UPS APC 100	ML
866	Usisiva? neo 1600 W	KD
867	Rutter	ML
868	Swich	ML
871	Kopir,printer,fax-Brother MFC-7820N	SSA
872	Fiksni telefon panasonic KX-TS-500	SSA
873	Ra?unar-ku?i?te Server za kameru	SSA
874	Foto aparat DC-530 BENQ	KL
875	Fiksni telefon panasonic KX-T-2371 FXW	PRODAJA SA
876	Radna stolica	SSA
877	Radna stolica	SSA
878	Radna stolica	SSA
879	Torba za laptop	NULL
880	Usisiva? 3M	SERVIS 4
881	Usisiva? Katun	SSA
882	Torba sa alatom	NULL
883	Torba sa alatom	Servis SA
884	Torba sa alatom	Servis SA
885	Usisiva? 3M	Servis SA
887	Ormar sa ladicama	Servis SA
888	Polica bijela	SSA
892	Polica metalna siva	SSA
893	Polica metalna siva	SSA
894	Monitor Samsung	PAK
895	Ra?unar-ku?i?te (model Intel Celeron 1.80 GHz)	SIT
897	Laptop	NULL
898	Torba sa alatom	SSA
899	Torba sa alatom	Servis SA
900	Laptop+torba	MAG-2
901	Kamera video nadzor	SSA
902	Kamera video nadzor	SSA
903	Kamera video nadzor	SSA
904	Kamera video nadzor	SSA
905	Fax aparat brother 2920	KL
908	Auto teretno Fiat punto 838-K-189	NULL
910	PP aparat u autu 926/2 tip S-2A-E86-T-780	NULL
911	Caddy 678-E-883	NULL
912	Mobilni telefon Nokia 1100 065/464-516 (238)	NULL
913	Mobilni telefon Nokia 1100 065/464-518 (236)	NULL
914	Mobilni telefon Nokia 1100 065/464-512 (241)	NULL
915	Mobilni telefon	NULL
916	Mobilni telefon	NULL
917	Mobilni telefon Nokia 1100 065/464-515 (239)	NULL
918	Mobilni telefon Nokia 1100 065/464-459 (221)	PRODAJA SA
919	TP Link switch (rutter)	SSA
920	Swich D-link	SSA
924	Printer fax skener brother MFC-7820	Servis SA
925	Auto teretno Caddy 780-K-518	NULL
926	PP aparat u autu 598-T-039	PRODAJA SA
927	Auto teretno Caddy 780-K-519	NULL
928	PP aparat u autu E23-K-514	Servis SA
929	Ra?unar	PT
1006	Radna stolica	KO
1007	Radni sto sa ladicama	KO
1008	PP aparat 73649 tip S-9	KO
1009	PP aparat 19823 S-6	KO
1010	PP aparat 20271  S-6	KO
1011	PP aparat 71645 S-9	KO
1012	Stala?e aluminiske vezuju?e	PSV
1013	Stala?e aluminiske vezuju?e	PSV
1016	PP aparat 11099 CO2-5	PH
1017	PP aparat 10903 CO2-5	PH
1018	PP aparat 11033 CO2-5	III-SPRAT
1019	PP aparat 10930 CO2-5	III-SPRAT
